area;parcela;amostra;areia;silte;argila;tipo;pH;SMP;Ca;Mg;Al;H.Al;CTCef;Sal;Bases;MO;P;Na;K;CTCph7;Ca/Mg;dec.med;cota;desn.max;pen.med;pen.max;pen20
1;1E;1;62;20;18;franco arenoso;4,40;4,70;3,04;0,84;4,23;19,40;8,33;50,78;17,46;5,80;6,80;17,00;87,00;23,50;3,60;6,25;1624,13;2,26;449,57;942,60;942,60
1;1D;2;60;27;13;franco arenoso;4,10;4,60;2,49;0,56;4,14;21,80;7,35;56,33;12,82;7,10;4,90;14,00;61,00;25,01;4,40;7,75;1626,63;3,44;395,34;672,20;508,40
1;2E;3;57;26;17;franco arenoso;4,20;4,50;2,12;0,47;5,38;24,40;8,12;66,26;10,08;5,70;5,60;19,00;57,00;27,14;4,50;5,13;1624,22;1,91;534,93;1165,90;1165,90
1;2D;4;56;27;16;franco arenoso;4,30;4,40;2,38;0,60;4,75;27,40;7,87;60,36;10,23;5,70;5,20;14,00;56,00;30,52;4,00;6,00;1626,63;3,44;432,09;882,90;843,80
1;3E;5;58;26;17;franco arenoso;4,10;4,10;2,11;0,56;11,66;38,60;14,82;78,68;7,58;4,10;4,00;7,00;193,00;41,76;3,80;4,88;1624,09;1,56;419,70;720,10;720,10
1;3D;6;69;15;15;franco arenoso;4,60;4,90;2,52;0,66;4,84;15,40;8,20;59,02;17,93;5,20;4,60;16,00;72,00;18,76;3,80;7,38;1626,26;3,44;383,50;768,40;727,20
1;4E;7;62;27;10;franco arenoso;4,30;4,80;3,17;0,86;4,04;17,30;8,24;49,03;19,53;5,10;3,40;17,00;66,00;21,50;3,70;4,50;1624,17;1,21;409,50;950,50;856,50
1;4D;8;58;29;13;franco arenoso;4,30;4,50;2,86;0,72;3,21;24,40;6,95;46,19;13,30;9,20;3,90;18,00;64,00;28,14;4,00;12,25;1626,63;5,08;360,40;734,10;578,10
1;5E;9;62;28;11;franco arenoso;4,40;4,50;3,11;0,84;3,80;24,40;7,93;47,92;14,47;7,70;3,70;17,00;70,00;28,53;3,70;11,00;1625,17;3,45;452,38;775,00;775,00
1;5D;10;69;23;8;franco arenoso;4,40;4,60;3,03;0,81;9,36;21,80;13,42;69,75;15,70;4,30;5,40;12,00;86,00;25,86;3,70;18,00;1628,61;8,00;441,29;880,11;880,11
