Transecto;parc;mês;parcela;spp;ni
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;scleria cf. sellowiana;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;cyperus odoratus;1
1;1;dez;E1;axonopus sp.;1
1;1;dez;E1;axonopus sp.;1
1;1;dez;E1;axonopus sp.;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;cyperus odoratus;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;scleria cf. sellowiana;1
1;1;jan;E1;panicum sp1;1
1;1;jan;E1;panicum sp1;1
1;1;jan;E1;panicum sp1;1
1;1;jan;E1;panicum sp2;1
1;1;jan;E1;panicum sp2;1
1;1;jan;E1;panicum sp2;1
1;1;jan;E1;panicum sp2;1
1;1;jan;E1;ludwigia octovalvis;1
1;1;jan;E1;ludwigia octovalvis;1
1;1;jan;E1;ludwigia octovalvis;1
1;1;jan;E1;ludwigia octovalvis;1
1;1;jan;E1;ludwigia octovalvis;1
1;1;jan;E1;galium humile;1
1;1;jan;E1;galium humile;1
1;1;jan;E1;galium humile;1
1;1;jan;E1;galium humile;1
1;1;jan;E1;galium humile;1
1;1;jan;E1;galium humile;1
1;1;jan;E1;galium humile;1
1;1;jan;E1;galium humile;1
1;1;fev;E1;cyperus odoratus;1
1;1;fev;E1;cyperus odoratus;1
1;1;fev;E1;cyperus odoratus;1
1;1;fev;E1;cyperus odoratus;1
1;1;fev;E1;cyperus odoratus;1
1;1;fev;E1;cyperus odoratus;1
1;1;fev;E1;cyperus odoratus;1
1;1;fev;E1;cyperus odoratus;1
1;1;mar;E1;solanum psedocapsicum;1
1;1;mar;E1;ludwigia octovalvis;1
1;1;mar;E1;ludwigia octovalvis;1
1;1;mar;E1;ludwigia octovalvis;1
1;1;abr;E1;panicum sp2;1
1;1;abr;E1;panicum sp2;1
1;1;abr;E1;panicum sp2;1
1;1;abr;E1;ludwigia octovalvis;1
1;1;abr;E1;ludwigia octovalvis;1
1;1;abr;E1;ludwigia octovalvis;1
1;1;abr;E1;gratiola peruviana;1
1;1;abr;E1;gratiola peruviana;1
1;1;abr;E1;gratiola peruviana;1
1;1;abr;E1;gratiola peruviana;1
1;1;abr;E1;carex sellowiana;1
1;1;abr;E1;carex sellowiana;1
1;1;abr;E1;solanum psedocapsicum;1
1;1;abr;E1;solanum psedocapsicum;1
1;1;abr;E1;cyperus odoratus;1
1;1;abr;E1;scleria cf. sellowiana;1
1;1;abr;E1;scleria cf. sellowiana;1
1;1;maio;E1;scleria cf. sellowiana;1
1;1;maio;E1;scleria cf. sellowiana;1
1;1;set;E1;ludwigia octovalvis;1
1;1;set;E1;ludwigia octovalvis;1
1;1;out;E1;ludwigia octovalvis;1
1;2;dez;D1;scleria cf. sellowiana;1
1;2;dez;D1;scleria cf. sellowiana;1
1;2;dez;D1;panicum sp1;1
1;2;dez;D1;panicum sp1;1
1;2;dez;D1;panicum sp1;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;dez;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;cyperus odoratus;1
1;2;jan;D1;scleria cf. sellowiana;1
1;2;jan;D1;scleria cf. sellowiana;1
1;2;jan;D1;scleria cf. sellowiana;1
1;2;jan;D1;scleria cf. sellowiana;1
1;2;jan;D1;scleria cf. sellowiana;1
1;2;jan;D1;scleria cf. sellowiana;1
1;2;jan;D1;scleria cf. sellowiana;1
1;2;jan;D1;Eupatorium sp.;1
1;2;jan;D1;Eupatorium sp.;1
1;2;jan;D1;Eupatorium sp.;1
1;2;jan;D1;Eupatorium sp.;1
1;2;jan;D1;Eupatorium sp.;1
1;2;jan;D1;Eupatorium sp.;1
1;2;jan;D1;galium humile;1
1;2;jan;D1;galium humile;1
1;2;jan;D1;galium humile;1
1;2;jan;D1;galium humile;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;cyperus odoratus;1
1;2;fev;D1;scleria cf. sellowiana;1
1;2;fev;D1;scleria cf. sellowiana;1
1;2;fev;D1;scleria cf. sellowiana;1
1;2;fev;D1;scleria cf. sellowiana;1
1;2;fev;D1;scleria cf. sellowiana;1
1;2;fev;D1;scleria cf. sellowiana;1
1;2;fev;D1;carex sellowiana;1
1;2;fev;D1;carex sellowiana;1
1;2;fev;D1;carex sellowiana;1
1;2;mar;D1;galinsoga parviflora;1
1;2;abr;D1;panicum sp1;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;carex sellowiana;1
1;2;abr;D1;gratiola peruviana;1
1;2;abr;D1;gratiola peruviana;1
1;2;abr;D1;cyperus odoratus;1
1;2;abr;D1;cyperus odoratus;1
1;2;abr;D1;solanum psedocapsicum;1
1;2;maio;D1;carex sellowiana;1
1;2;maio;D1;carex sellowiana;1
1;2;maio;D1;carex sellowiana;1
