area;parc;parc;ni;especies;h2014;h2015;h2016;x;y;obs.;Din1;Din2
1;1;1E;1;Myrceugenia euosma;;;1,03;0,65;0,45;;INEXISTENTES;RECRUTA
1;1;1E;j3;Baccharis uncinella;1,31;1,54;1,63;0,45;0,33;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;3;Myrceugenia glaucescens;1,29;1,29;1,32;0,69;1,43;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;4;Drimys angustifolia;1,49;1,52;1,75;0,58;2,24;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;5;Myrceugenia euosma;1;1,03;1,1;0,59;1,97;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;6;Baccharis uncinella;2,3;2,6;2,85;1,9;1,24;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;8;Siphoneugenia reitzii;;;1,05;0,65;3,42;;INEXISTENTES;RECRUTA
1;1;1E;9;Baccharis uncinella;2,15;2,2;2,5;2,25;4,41;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;10;Myrceugenia myrcioides;;;1,14;2,3;5,41;;INEXISTENTES;RECRUTA
1;1;1E;11;Baccharis uncinella;2,8;2,1;2,1;1,7;6,38;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;12;Baccharis microdonta;2,8;2,8;2,45;3,6;8,72;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;13;Baccharis uncinella;2,5;3;3,5;1,1;8,59;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;14;Araucaria angustifolia;1,66;1,8;1,95;4,9;9,7;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;20;Baccharis uncinella;2,9;2,9;2,5;6,1;3,55;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;21;Berberis laurina;;1,05;1,3;6,4;9,2;;RECRUTAS;SOBREVIVENTE
1;1;1E;22;Berberis laurina;1,2;1,22;3;5,2;3;;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;23;Baccharis uncinella;3;3,1;3,2;8,6;2,57;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;25;Baccharis uncinella;1,2;1,2;M;5,1;1,25;;SOBREVIVENTES;MORTA
1;1;1E;26;Baccharis uncinella;2,7;2,8;2,85;4;1,55;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;27;Baccharis uncinella;1,84;2,4;2,35;3,5;0,22;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;28;Baccharis uncinella;2;2;2,3;3;0,25;coletada;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;30;Baccharis uncinella;2;2,05;3;3,1;1,33;D206;SOBREVIVENTES;SOBREVIVENTE
1;1;1E;32;Maytenus boaria;;;1,06;4,21;0,25;;INEXISTENTES;RECRUTA
1;1;1E;e3;Myrceugenia glaucescens;1;1,02;1,1;0,3;9,7;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;33;Baccharis uncinella;2,36;2,44;3,15;1,99;-0,66;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;38;Drimys angustifolia;;1,02;1,1;2,25;-1,86;;RECRUTAS;SOBREVIVENTE
1;2;1D;40;Baccharis uncinella;2,6;2,7;3,6;3,7;-2,29;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;43;Baccharis uncinella;2,19;2,43;3;0,8;-3,15;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;44;Drimys angustifolia;1,4;1,5;1,87;3;-4,72;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;45;Myrceugenia euosma;1,11;1,2;1,27;2,79;-4,56;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;47;Baccharis uncinella;2;2,25;2,67;3,35;-4,94;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;50;Berberis laurina;1,11;1,15;1,2;3,8;-6,6;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;52;Baccharis uncinella;3,2;3,2;3,4;2,5;-6,65;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;53;Drimys angustifolia;;1,2;1,53;1,8;-6,03;;RECRUTAS;SOBREVIVENTE
1;2;1D;55;Baccharis uncinella;3,5;3,9;4,5;1,6;-7,21;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;57;Baccharis uncinella;1,7;1,75;1,8;1,8;-8,1;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;58;Campovassouria cruciata;1,4;1,4;1,9;2;-9,07;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;61;Baccharis uncinella;3,5;3,5;3,5;1,4;-8,63;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;62;Myrceugenia euosma;;;1,3;1,8;-9,29;;INEXISTENTES;RECRUTA
1;2;1D;65;Myrceugenia regnelliana;;;1;3,09;-8,26;;INEXISTENTES;RECRUTA
1;2;1D;67;Baccharis uncinella;2;2,1;2,6;6,7;-8,49;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;68;Myrceugenia glaucescens;;;1,3;6,3;-7,57;;INEXISTENTES;RECRUTA
1;2;1D;69;Baccharis uncinella;2;2,2;2,8;5,9;-6,7;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;71;Baccharis uncinella;2;2,5;3,1;9;-3,38;coletada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;73;Drimys angustifolia;1,1;1,12;1;7,4;-2,17;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;74;Drimys angustifolia;1,2;1,3;1,39;6,9;-2,31;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;75;Ocotea pulchella;1,3;1,35;1,63;6,15;-2,51;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;76;Campovassouria bupleudiana;2;2,6;2,6;6,4;-1,05;glabra, nao serreada;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;e6;Solanum cassioides;1,1;1,1;1,22;6,42;­2,73;;SOBREVIVENTES;SOBREVIVENTE
1;2;1D;e7;Solanum paranense;1;1,12;M;2,32;­5,93;;SOBREVIVENTES;MORTA
1;2;1D;e8;Solanum cassioides;;1,3;1,3;7,15;­2,31;;RECRUTAS;SOBREVIVENTE
1;2;1D;e9;Solanum cassioides;1,2;1,21;M;4,63;­4,78;;SOBREVIVENTES;MORTA
1;2;1D;e11;Berberis laurina;;;1,4;9,5;­2,69;;INEXISTENTES;RECRUTA
1;2;1D;e12;Myrceugenia regnelliana;;;1,2;5,2;­1,75;;INEXISTENTES;RECRUTA
1;2;1D;e14;Solanum cassioides;;;1,5;6,7;­8,06;;INEXISTENTES;RECRUTA
1;2;1D;e15;Solanum cassioides;;;1,15;9;­7,45;;INEXISTENTES;RECRUTA
