Area;parc;parcela;nucleador;x;y;ml
1;1;1E;xaxim;4.5;9.9;0.42
1;1;1E;rocha;0.6;3.99;1.41
1;1;1E;xaxim;1.1;0.96;0.55
1;1;1E;xaxim;6;4.2;0.6
1;1;1E;xaxim;9.3;3.63;0.63
1;1;1E;xaxim;4.3;0.73;0.47
1;1;1E;arvore;0.19;2.45;3
1;2;1D;xaxim;0.6;-1.65;2
1;2;1D;xaxim;1.2;-2.68;1.15
1;2;1D;rocha;2.5;-0.31;0.33
1;2;1D;tronco;2.3;-4.45;1.9
1;2;1D;xaxim;3.5;-5.91;1.05
1;2;1D;xaxim;3.46;-6.6;0.66
1;2;1D;rocha;1.3;-6.93;0.25
1;2;1D;xaxim;1.9;-8.92;0.79
1;2;1D;xaxim;3.55;-8.44;0.27
1;2;1D;xaxim;3.7;-7.27;0.7
1;2;1D;tronco;6.4;-7.06;1.2
1;2;1D;xaxim;9.6;-2.08;0.73
1;2;1D;rocha;7.3;-2.06;0.4
1;2;1D;rocha;5.9;-1.66;1.41
1;3;2E;xaxim;11.2;0.3;1.1
1;3;2E;xaxim;11.3;1.93;1
1;3;2E;xaxim;14.7;1.49;0.44
1;3;2E;tronco;16.1;0.99;1
1;3;2E;tronco;18.3;3.31;0.67
1;3;2E;xaxim;16.2;5.93;0.82
1;3;2E;xaxim;19.4;6.75;0.87
1;3;2E;xaxim;19.7;8.08;0.5
1;3;2E;xaxim;19.73;9.09;0.61
1;3;2E;xaxim;19.8;9.36;1.05
1;3;2E;xaxim;16.3;7.8;1.56
1;3;2E;xaxim;14.2;9.96;0.69
1;3;2E;xaxim;14.15;9.54;0.25
1;4;2D;xaxim;11.3;-1.82;0.89
1;4;2D;rocha;12.4;-2.61;0.95
1;4;2D;xaxim;11.9;-4.58;1.12
1;4;2D;rocha;10.9;-5.72;0.65
1;4;2D;rocha;11.7;-3.8;0.35
1;4;2D;rocha;10.57;-7.91;0.71
1;4;2D;xaxim;10.7;-8.99;0.84
1;4;2D;rocha;11.7;-7.32;0.85
1;4;2D;rocha;16.2;-6.76;0.7
1;4;2D;rocha;17.1;-7.76;0.25
1;4;2D;rocha;17.48;-7.79;0.43
1;4;2D;rocha;17.3;-9.28;0.8
1;4;2D;rocha;18.32;-8.87;0.25
1;4;2D;xaxim;18.4;-8.46;1.2
1;4;2D;tronco;18.2;-6.81;0.39
1;4;2D;rocha;18.8;-6.39;0.4
1;4;2D;rocha;18.6;-5.29;0.6
1;4;2D;xaxim;18.1;-4.46;1.35
1;4;2D;xaxim;19;-3.35;1.6
1;4;2D;xaxim;16.9;-3.16;1.36
1;4;2D;rocha;15.76;-0.97;1
1;4;2D;rocha;15.7;-0.4;1.1
1;5;3E;rocha;20.85;0.56;0.67
1;5;3E;rocha;20.52;1.81;0.37
1;5;3E;rocha;21.02;1.78;0.51
1;5;3E;xaxim;21.7;2.29;0.34
1;5;3E;xaxim;25.49;3.68;3.1
1;5;3E;rocha;21.4;3.86;0.48
1;5;3E;xaxim;20.6;4.03;1.46
1;5;3E;xaxim;20.43;4.81;1.3
1;5;3E;xaxim;20.98;7.61;0.64
1;5;3E;xaxim;21.45;8.62;0.64
1;5;3E;tronco;21.22;9.68;0.17
1;5;3E;tronco;22.17;9.59;1
1;5;3E;rocha;23.3;9.41;0.17
1;5;3E;tronco;23.7;8.55;0.22
1;5;3E;rocha;22.92;6.91;1.05
1;5;3E;xaxim;24.55;5.92;1.45
1;5;3E;xaxim;26.32;9.41;2
1;5;3E;xaxim;29.24;7.83;1.36
1;5;3E;rocha;29.1;5.52;0.47
1;5;3E;xaxim;28.2;3.55;1.15
1;5;3E;xaxim;28.8;2.74;2.2
1;6;3D;xaxim;21.24;-0.39;1.4
1;6;3D;rocha;24.2;-0.94;0.82
1;6;3D;tronco;24.6;-1.86;1.05
1;6;3D;rocha;24.6;-3.28;0.87
1;6;3D;rocha;21.3;-4.3;0.23
1;6;3D;rocha;21.73;-5.52;1.12
1;6;3D;xaxim;23.5;-7.18;3.3
1;6;3D;xaxim;23.7;-8.19;0.9
1;6;3D;xaxim;24.37;-9.34;0.3
1;6;3D;xaxim;29.8;-7.29;0.75
1;6;3D;xaxim;29.1;-6.32;0.9
1;6;3D;rocha;29.5;-4.83;0.83
1;6;3D;xaxim;29.7;-3.93;0.82
1;6;3D;xaxim;29.54;-2.85;1.15
1;6;3D;xaxim;29.8;-0.67;0.44
1;7;4E;xaxim;31.7;0.32;1
1;7;4E;xaxim;33.1;0.19;1.3
1;7;4E;rocha;34.8;0.36;0.42
1;7;4E;xaxim;35.1;0.23;0.52
1;7;4E;tronco;36.03;2.02;1.67
1;7;4E;xaxim;36.09;2.87;2.3
1;7;4E;rocha;33.79;5.4;0.71
1;7;4E;tronco;34.6;5.2;2.5
1;7;4E;xaxim;31.32;7.63;4.5
1;7;4E;xaxim;31.03;9.62;0.3
1;7;4E;xaxim;38.91;5.02;1.8
1;7;4E;xaxim;39.36;7.39;1.8
1;7;4E;xaxim;39.61;8.26;0.8
1;7;4E;xaxim;39.27;2.55;2
1;7;4E;rocha;38.74;0.49;1
1;8;4D;tronco;32.2;-2.54;1.2
1;8;4D;rocha;39.74;-0.72;0.42
1;8;4D;rocha;33.2;-1.05;0.35
1;8;4D;xaxim;31.24;-1.01;1.1
