Localidade;Transecto;Parcela;PC1;PC2;numero;spp;DAPf;AS
Urubici;1;1D;1;1;E21;drimys_angustifolia;33,29868307;0,087085129
Urubici;1;1D;1;1;E19;drimys_angustifolia;31,17716562;0,076341931
Urubici;1;1D;1;1;E10;myrceugenia_euosma;28,61605877;0,064314592
Urubici;1;1D;1;1;E12;drimys_angustifolia;25,09665039;0,049467664
Urubici;1;1D;1;1;E9;drimys_angustifolia;24,82817112;0,048414934
Urubici;1;1D;1;1;E14;drimys_angustifolia;24,25521333;0,046206181
Urubici;1;1D;1;1;E6;drimys_angustifolia;24,03239641;0,045361148
Urubici;1;1D;1;1;E18;drimys_angustifolia;23,23662169;0,042406835
Urubici;1;1D;1;1;E15;drimys_angustifolia;20,05352283;0,031584298
Urubici;1;1D;1;1;E17;myrceugenia_mesomischa;16,38334522;0,021081186
Urubici;1;1D;1;1;E8;myrceugenia_oxysepala;13,45536214;0,01421938
Urubici;1;1D;1;1;E11;myrceugenia_mesomischa;11,44924865;0,010295415
Urubici;1;1D;1;1;E5;myrceugenia_mesomischa;10,62573516;0,008867636
Urubici;1;1D;1;1;E13;myrceugenia_myrcioides;7,054209589;0,003908288
Urubici;1;1D;1;1;E7;solanum_paranense;7,002817496;0,00385155
Urubici;1;1D;1;1;E2;citronella_paniculata;6,366197724;0,003183099
Urubici;1;1D;1;1;E20;siphoneugena_reitzii;5,952394872;0,002782745
Urubici;1;1D;1;1;E1;myrceugenia_miersiana;5,819502181;0,002659877
Urubici;1;1D;1;1;E16;myrceugenia_mesomischa;5,506761031;0,002381674
Urubici;1;1D;1;1;E4;drimys_angustifolia;5,411268065;0,002299789
Urubici;1;1E;1;2;E58;drimys_angustifolia;30,55774907;0,073338598
Urubici;1;1E;1;2;E63;dicksonia_sellowiana;27,37465021;0,058855498
Urubici;1;1E;1;2;E60;drimys_angustifolia;21,64507226;0,036796623
Urubici;1;1E;1;2;E55;drimys_angustifolia;21,32676237;0,035722327
